experiment,dataset,corruption_type,stress_level,seed,objective,eval_accuracy,eval_nll,eval_ece,eval_brier,eval_mean_true_probability,eval_train_corrupted_fraction,eval_teacher_accuracy,eval_teacher_error_imitation,eval_accuracy_on_teacher_wrong,eval_teacher_student_js
distillation,digits,high_temperature,0.1,202,jensen_shannon,0.9388888888888889,0.43123647570610046,0.047541312266279126,0.10411825031042099,0.9365643262863159,1.0,0.9407407407407408,0.59375,0.21875,0.022524936124682426
distillation,digits,high_temperature,0.1,202,hellinger,0.9407407407407408,0.3876856565475464,0.0437255283196767,0.10201022773981094,0.9365518689155579,1.0,0.9407407407407408,0.71875,0.15625,0.013585728593170643
distillation,digits,high_temperature,0.1,202,fisher_rao,0.9407407407407408,0.39529329538345337,0.0454683128882338,0.102752186357975,0.9368783235549927,1.0,0.9407407407407408,0.75,0.15625,0.013268358074128628
distillation,digits,high_temperature,0.3,202,kl,0.9055555555555556,0.45623451471328735,0.06171144798949912,0.141779825091362,0.9053966403007507,1.0,0.9407407407407408,0.90625,0.03125,0.01804168149828911
distillation,digits,high_temperature,0.3,202,kl_smoothed,0.9074074074074074,0.488144189119339,0.06258499688572357,0.1493852436542511,0.9030470252037048,1.0,0.9407407407407408,0.84375,0.03125,0.019010942429304123
distillation,digits,high_temperature,0.3,202,kl_capped,0.562962962962963,1.59912109375,0.16161758844499235,0.598789632320404,0.5116154551506042,1.0,0.9407407407407408,0.375,0.21875,0.26234206557273865
distillation,digits,high_temperature,0.3,202,jensen_shannon,0.9185185185185185,0.4532333016395569,0.05662237157424287,0.13066217303276062,0.9149816632270813,1.0,0.9407407407407408,0.75,0.09375,0.019760670140385628
distillation,digits,high_temperature,0.3,202,hellinger,0.912962962962963,0.45447230339050293,0.06385365029176074,0.14067862927913666,0.9108904600143433,1.0,0.9407407407407408,0.8125,0.09375,0.018124045804142952
distillation,digits,high_temperature,0.3,202,fisher_rao,0.912962962962963,0.4501931369304657,0.0643744990229607,0.139661967754364,0.9117473363876343,1.0,0.9407407407407408,0.8125,0.09375,0.017284618690609932
distillation,digits,random_wrong,0.1,202,kl,0.8777777777777778,0.507407546043396,0.02607426808940039,0.19313853979110718,0.8040100932121277,0.10342084327764518,0.9407407407407408,0.40625,0.21875,0.08291898667812347
distillation,digits,random_wrong,0.1,202,kl_smoothed,0.9185185185185185,0.4115966856479645,0.05349343098975992,0.13198256492614746,0.9129235744476318,0.10342084327764518,0.9407407407407408,0.5625,0.15625,0.03277777135372162
distillation,digits,random_wrong,0.1,202,kl_capped,0.8851851851851852,0.8081728219985962,0.09430986201321642,0.19571368396282196,0.8868699669837952,0.10342084327764518,0.9407407407407408,0.53125,0.21875,0.05158740282058716
distillation,digits,random_wrong,0.1,202,jensen_shannon,0.9407407407407408,0.5584698915481567,0.05299177191875597,0.11258254200220108,0.9362313747406006,0.10342084327764518,0.9407407407407408,0.65625,0.21875,0.021892471238970757
distillation,digits,random_wrong,0.1,202,hellinger,0.9407407407407408,0.48745083808898926,0.0486109425072317,0.1074143648147583,0.936461865901947,0.10342084327764518,0.9407407407407408,0.6875,0.15625,0.016001146286725998
distillation,digits,random_wrong,0.1,202,fisher_rao,0.937037037037037,0.48243239521980286,0.0521269763509432,0.11128024011850357,0.9337242245674133,0.10342084327764518,0.9407407407407408,0.71875,0.15625,0.01767372526228428
distillation,digits,random_wrong,0.3,202,kl,0.8703703703703703,0.8150635957717896,0.2156924154471468,0.27215713262557983,0.6198157668113708,0.2840095465393795,0.9407407407407408,0.40625,0.3125,0.16333484649658203
distillation,digits,random_wrong,0.3,202,kl_smoothed,0.8685185185185185,0.8125331401824951,0.21542331559790506,0.2739270329475403,0.6175274848937988,0.2840095465393795,0.9407407407407408,0.40625,0.3125,0.1641886979341507
distillation,digits,random_wrong,0.3,202,kl_capped,0.3037037037037037,1.9795337915420532,0.03943854106797112,0.8026949763298035,0.19523999094963074,0.2840095465393795,0.9407407407407408,0.4375,0.125,0.4355989098548889
distillation,digits,random_wrong,0.3,202,jensen_shannon,0.9166666666666666,0.7109323740005493,0.06696250267602782,0.13846014440059662,0.9189961552619934,0.2840095465393795,0.9407407407407408,0.53125,0.25,0.03810197860002518
distillation,digits,random_wrong,0.3,202,hellinger,0.9074074074074074,0.8133047819137573,0.07024143636226658,0.16323386132717133,0.9024668335914612,0.2840095465393795,0.9407407407407408,0.5,0.25,0.04485036060214043
distillation,digits,random_wrong,0.3,202,fisher_rao,0.9148148148148149,0.7412577271461487,0.06394150284705334,0.15110650658607483,0.9081851243972778,0.2840095465393795,0.9407407407407408,0.5,0.25,0.04059262573719025
distillation,digits,class_confusion,0.1,202,kl,0.8555555555555555,0.5624788403511047,0.04511980193632622,0.20676136016845703,0.8109713792800903,0.10342084327764518,0.9407407407407408,0.21875,0.375,0.08771688491106033
distillation,digits,class_confusion,0.1,202,kl_smoothed,0.8888888888888888,0.5043752193450928,0.03749166020640624,0.17447656393051147,0.8537341952323914,0.10342084327764518,0.9407407407407408,0.53125,0.25,0.05745001137256622
distillation,digits,class_confusion,0.1,202,kl_capped,0.9037037037037037,0.8311445713043213,0.07705004855438514,0.16551096737384796,0.9033234715461731,0.10342084327764518,0.9407407407407408,0.46875,0.3125,0.04685536399483681
distillation,digits,class_confusion,0.1,202,jensen_shannon,0.9314814814814815,0.5361143946647644,0.05840216886114191,0.12250157445669174,0.9285888075828552,0.10342084327764518,0.9407407407407408,0.53125,0.1875,0.02998555451631546
distillation,digits,class_confusion,0.1,202,hellinger,0.9333333333333333,0.439698189496994,0.047170626344504175,0.11415302008390427,0.9290431141853333,0.10342084327764518,0.9407407407407408,0.46875,0.25,0.02613931894302368
distillation,digits,class_confusion,0.1,202,fisher_rao,0.9277777777777778,0.43009912967681885,0.04984896293392892,0.11470449715852737,0.9276500344276428,0.10342084327764518,0.9407407407407408,0.5625,0.25,0.02278234250843525
distillation,digits,class_confusion,0.3,202,kl,0.7407407407407407,0.9264470934867859,0.0587199436293708,0.39310479164123535,0.6250950694084167,0.2840095465393795,0.9407407407407408,0.25,0.21875,0.17639757692813873
distillation,digits,class_confusion,0.3,202,kl_smoothed,0.7277777777777777,0.9696359038352966,0.04838124651599812,0.4076792895793915,0.6216287016868591,0.2840095465393795,0.9407407407407408,0.28125,0.21875,0.17965424060821533
distillation,digits,class_confusion,0.3,202,kl_capped,0.34629629629629627,1.9747477769851685,0.060832444247272285,0.7792726755142212,0.21240998804569244,0.2840095465393795,0.9407407407407408,0.5,0.15625,0.4194994270801544
distillation,digits,class_confusion,0.3,202,jensen_shannon,0.8240740740740741,1.3673633337020874,0.1395035813804026,0.31204020977020264,0.8175305128097534,0.2840095465393795,0.9407407407407408,0.34375,0.21875,0.1052057147026062
distillation,digits,class_confusion,0.3,202,hellinger,0.7981481481481482,1.1390986442565918,0.14890333977010517,0.3489052653312683,0.7781772017478943,0.2840095465393795,0.9407407407407408,0.25,0.25,0.12343931943178177
distillation,digits,class_confusion,0.3,202,fisher_rao,0.8018518518518518,1.0365668535232544,0.11995930086683343,0.32847267389297485,0.7784333229064941,0.2840095465393795,0.9407407407407408,0.25,0.21875,0.11798297613859177
distillation,digits,clean,0.0,303,kl,0.9296296296296296,0.484102725982666,0.050168795662897656,0.11614905297756195,0.927727222442627,0.0,0.9314814814814815,0.8648648648648649,0.08108108108108109,0.002519315807148814
distillation,digits,clean,0.0,303,kl_smoothed,0.9296296296296296,0.4882831275463104,0.0491610676050186,0.11733236908912659,0.9266363382339478,0.0,0.9314814814814815,0.8648648648648649,0.08108108108108109,0.002935851691290736
distillation,digits,clean,0.0,303,kl_capped,0.9333333333333333,0.6221825480461121,0.056290683591807306,0.1184658482670784,0.9327201843261719,0.0,0.9314814814814815,0.4594594594594595,0.40540540540540543,0.028892764821648598
distillation,digits,clean,0.0,303,jensen_shannon,0.9388888888888889,0.43085089325904846,0.04596237352600809,0.10112948715686798,0.9370929002761841,0.0,0.9314814814814815,0.6756756756756757,0.24324324324324326,0.011903549544513226
distillation,digits,clean,0.0,303,hellinger,0.9388888888888889,0.43619999289512634,0.049802714034363045,0.10405351221561432,0.9387757182121277,0.0,0.9314814814814815,0.6756756756756757,0.2702702702702703,0.01265580765902996
