dataset,noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
digits,asym_40,kl,6,0.6111111111111112,0.2120603310565154,0.58583664894104,1.2687573432922363
digits,asym_40,gce,6,0.6111111111111112,0.2554785153104199,0.6385042667388916,1.6121569871902466
digits,asym_40,mae,6,0.6888888888888889,0.2145810604095459,0.50864577293396,1.4856245517730713
digits,asym_40,sce,6,0.5944444444444444,0.3046137798163626,0.6608631610870361,1.811176061630249
digits,asym_40,hellinger,6,0.6111111111111112,0.2285785775217745,0.6171914935112,1.4843889474868774
digits,asym_40,fisher_rao,6,0.6027777777777777,0.2431008867919445,0.6197677254676819,1.4999191761016846
digits,asym_40,kl,7,0.6444444444444445,0.2137724546922577,0.551016628742218,1.1278761625289917
digits,asym_40,gce,7,0.6388888888888888,0.2349428663651148,0.5808282494544983,1.3653953075408936
digits,asym_40,mae,7,0.7138888888888889,0.1998235098189777,0.4706055819988251,1.239275574684143
digits,asym_40,sce,7,0.6333333333333333,0.2583443649113178,0.6005150079727173,1.519400715827942
digits,asym_40,hellinger,7,0.6472222222222223,0.224761975556612,0.5625497698783875,1.231355905532837
digits,asym_40,fisher_rao,7,0.6361111111111111,0.24040352627635,0.5797380805015564,1.2759994268417358
digits,asym_40,kl,8,0.6194444444444445,0.2071795934604273,0.58482825756073,1.250788927078247
digits,asym_40,gce,8,0.6333333333333333,0.2440311508046256,0.6168473958969116,1.4888622760772705
digits,asym_40,mae,8,0.7055555555555556,0.2102801390820079,0.4750387966632843,1.308495283126831
digits,asym_40,sce,8,0.6277777777777778,0.2478116859164503,0.5965346693992615,1.5078250169754028
digits,asym_40,hellinger,8,0.6194444444444445,0.2348815851741366,0.6076170802116394,1.3907690048217771
digits,asym_40,fisher_rao,8,0.6166666666666667,0.2415619196163283,0.6147353053092957,1.427653670310974
digits,asym_40,kl,9,0.6166666666666667,0.2227925734387504,0.6011295914649963,1.292945146560669
digits,asym_40,gce,9,0.6166666666666667,0.2401922053760953,0.6208966374397278,1.4921979904174805
digits,asym_40,mae,9,0.6305555555555555,0.2540945803125699,0.6226394772529602,1.8438165187835691
digits,asym_40,sce,9,0.6138888888888889,0.271353181782696,0.6359876990318298,1.7173855304718018
digits,asym_40,hellinger,9,0.6194444444444445,0.2437343969941139,0.6139765977859497,1.397140383720398
digits,asym_40,fisher_rao,9,0.6194444444444445,0.2301219943496915,0.6134222745895386,1.4143141508102417
mnist,clean,kl,0,0.935,0.0278043592969576,0.1049669086933136,0.316884309053421
mnist,clean,gce,0,0.9316666666666666,0.034314931333065,0.1013050749897956,0.3046517074108124
mnist,clean,mae,0,0.94,0.0384457944333553,0.1012779250741005,0.3115520179271698
mnist,clean,sce,0,0.9316666666666666,0.0444323599338531,0.1148108020424842,0.3689967393875122
mnist,clean,hellinger,0,0.935,0.0264997654159863,0.0972180664539337,0.2998719811439514
mnist,clean,fisher_rao,0,0.9316666666666666,0.0386441455284754,0.1101191937923431,0.3280152380466461
mnist,clean,kl,1,0.94,0.0328156206011772,0.0987885743379592,0.3074399828910827
mnist,clean,gce,1,0.9366666666666666,0.0265977137287458,0.0982557833194732,0.307935893535614
mnist,clean,mae,1,0.9333333333333332,0.0366574936111767,0.1016862094402313,0.3158238232135772
mnist,clean,sce,1,0.9333333333333332,0.0390626392761866,0.1046081930398941,0.3439880311489105
mnist,clean,hellinger,1,0.9316666666666666,0.0271547352274258,0.103493757545948,0.3106478750705719
mnist,clean,fisher_rao,1,0.935,0.0279898890356222,0.0999303981661796,0.3260465264320373
mnist,clean,kl,2,0.9433333333333334,0.0250599957754214,0.0920950472354888,0.2908652126789093
mnist,clean,gce,2,0.94,0.0281047222018241,0.0958321094512939,0.306659996509552
mnist,clean,mae,2,0.94,0.0350760376950105,0.0948365628719329,0.3056099414825439
mnist,clean,sce,2,0.9416666666666668,0.0283349511524041,0.093842439353466,0.3378799259662628
mnist,clean,hellinger,2,0.945,0.0214802185197671,0.0918269678950309,0.3030672371387481
mnist,clean,fisher_rao,2,0.9433333333333334,0.0245534342527389,0.0915508419275283,0.3057300746440887
mnist,clean,kl,3,0.9333333333333332,0.0313882954915364,0.0991741567850112,0.3045274913311004
mnist,clean,gce,3,0.93,0.0360137038926283,0.0996066406369209,0.2863022983074188
mnist,clean,mae,3,0.9316666666666666,0.0340005747973919,0.1084851846098899,0.3310215175151825
mnist,clean,sce,3,0.9383333333333334,0.0314126511414846,0.0960403829813003,0.3238726854324341
mnist,clean,hellinger,3,0.9366666666666666,0.0280732038120429,0.0996272340416908,0.2816911041736603
mnist,clean,fisher_rao,3,0.9283333333333332,0.0401102118690808,0.1042815744876861,0.3272859752178192
mnist,clean,kl,4,0.9366666666666666,0.0312619529664516,0.1025591343641281,0.3081431686878204
mnist,clean,gce,4,0.9483333333333334,0.0249580582479636,0.0843599736690521,0.2612488865852356
mnist,clean,mae,4,0.935,0.0375855865081151,0.0938068404793739,0.2961712181568146
mnist,clean,sce,4,0.945,0.0307304643591245,0.0944138467311859,0.3242187201976776
mnist,clean,hellinger,4,0.9483333333333334,0.0224536401530106,0.0893002226948738,0.2693387567996979
mnist,clean,fisher_rao,4,0.94,0.036238090544939,0.0982209369540214,0.3157528042793274
mnist,sym_20,kl,0,0.785,0.0940910331904888,0.3151171505451202,0.9122808575630188
mnist,sym_20,gce,0,0.8166666666666667,0.1000468010455369,0.2709727883338928,0.8753639459609985
mnist,sym_20,mae,0,0.8683333333333333,0.069940751940012,0.1992567479610443,0.6526975631713867
mnist,sym_20,sce,0,0.7783333333333333,0.1309738034506639,0.3521176278591156,1.2200099229812622
mnist,sym_20,hellinger,0,0.7766666666666666,0.107958490649859,0.3288997113704681,0.9622818827629088
mnist,sym_20,fisher_rao,0,0.7733333333333333,0.1279056676725546,0.3453458547592163,1.02289080619812
mnist,sym_20,kl,1,0.7766666666666666,0.1079728498061498,0.329559177160263,0.9172344207763672
mnist,sym_20,gce,1,0.8116666666666666,0.1102736316124597,0.2997124791145324,0.908113420009613
mnist,sym_20,mae,1,0.86,0.0800976053873697,0.2174754291772842,0.7206612825393677
mnist,sym_20,sce,1,0.7616666666666667,0.1425344241658847,0.3701242506504059,1.2033469676971436
mnist,sym_20,hellinger,1,0.7916666666666666,0.0987794971466064,0.3315193057060241,0.9607647657394408
mnist,sym_20,fisher_rao,1,0.7916666666666666,0.1282486901183923,0.3491565287113189,1.0634273290634155
mnist,sym_20,kl,2,0.8016666666666666,0.0865572054187456,0.3019079864025116,0.894509494304657
mnist,sym_20,gce,2,0.8283333333333334,0.0973301102221012,0.2781798243522644,0.8797595500946045
mnist,sym_20,mae,2,0.8766666666666667,0.0881257116794586,0.2111963629722595,0.76601243019104
mnist,sym_20,sce,2,0.7816666666666666,0.12963487803936,0.3543433248996734,1.1903740167617798
mnist,sym_20,hellinger,2,0.805,0.0933278892437617,0.3079002499580383,0.9202162623405457
mnist,sym_20,fisher_rao,2,0.8083333333333333,0.1142850399514039,0.3028759360313415,0.9494935870170592
mnist,sym_20,kl,3,0.82,0.078903722167015,0.2763316333293915,0.7743275165557861
